Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,,Second CAS
"1,3-Dioxolan-2-one",000096-49-1,,,kg,chemical,,,water/unspecified,5b7d620e-2238-5ec9-888a-6999218b6974,,,96-49-1
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,"air/low population density, long-term",d21da01e-f96f-4db5-9746-7b70db8a1f2c,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,air/lower stratosphere + upper troposphere,90653a29-2f53-4b1b-88bd-9ae2fe64a8d6,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,air/non-urban air or from high stacks,83bafcf1-2f2e-4a32-89a0-f1f16ca10626,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,air/unspecified,09db39be-d9a6-4fc3-8d25-1f80b23e9131,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,air/urban air close to ground,38a622c6-f086-4763-a952-7c6b3b1c42ba,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,water/ground-,c5de5e4d-85cf-4102-9ff1-5248d8928ba1,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,"water/ground-, long-term",564dde7f-e713-4baf-84aa-7a11ffa7e2cd,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,water/ocean,aae8aac7-b81d-41e4-b356-912b369d1c55,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,water/surface water,d6911d36-3fec-41fe-8ef9-540f6543a240,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
"1,4-Butanediol",000110-63-4,,Butylene glycol,kg,chemical,,,water/unspecified,d835b7aa-288b-4b3a-966b-3f64f36ed220,,,36684-44-3; 28324-25-6; 110-63-4; 110-63-4
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,"air/low population density, long-term",9dd01d5b-3677-4822-9cd4-36d21b0e23d1,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,air/lower stratosphere + upper troposphere,b78e77cb-7636-4420-855e-17239984f8b3,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,air/non-urban air or from high stacks,cc9a442f-c96a-4bdc-990d-8b58f72b4e07,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,air/unspecified,048baf1e-6cdc-44a5-92e2-32d15ff54885,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,air/urban air close to ground,541a823c-0aad-4dc4-9123-d4af4647d942,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,water/ground-,5074e239-b510-49aa-928c-fcdb462481d8,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,"water/ground-, long-term",cfa50eaf-a817-4352-b9fe-aa834240d269,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,water/ocean,8d28a5b3-1b1c-41e9-9eba-90c607aad7db,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,water/surface water,e4526360-b2a1-4e77-9f00-57dbfe228bde,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentanol,000071-41-0,,amyl alcohol,kg,chemical,,,water/unspecified,070dc6b3-0976-45a0-803e-0a87d7e96959,,,158778-85-9; 71-41-0; 64118-19-0; 30899-19-5; 71-41-0
1-Pentene,000109-67-1,,amylene,kg,chemical,,,"air/low population density, long-term",47a8dfb8-f1e5-4460-b7ca-eeea1ca44596,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,air/lower stratosphere + upper troposphere,87eed31b-5a6b-43ae-9a02-778a8c6e4ff8,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,air/non-urban air or from high stacks,ccfea48e-0aec-4573-8ed1-fb7c0f1b14ae,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,air/unspecified,651cbfbb-3027-4e20-a5b0-4a67e86e837a,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,air/urban air close to ground,8cbaa905-41b0-4327-8403-bf1c8eb25429,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,water/ground-,7a41be00-7040-4097-99be-a8085e86bf5e,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,"water/ground-, long-term",4530576f-7f93-4c43-b13e-8cd2da98f501,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,water/ocean,9d99096b-4e70-452b-9e3b-b2296613bc0f,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,water/surface water,f3cf9958-739f-41c1-a679-f550cf0e9b6c,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
1-Pentene,000109-67-1,,amylene,kg,chemical,,,water/unspecified,109c3ee9-b9df-4c11-bd77-b8571773d9ad,,,69702-03-0; 60703-97-1; 109-67-1; 68814-91-5; 25377-72-4; 109-67-1
"2,2,4-Trimethyl pentane",000540-84-1,,,kg,chemical,,,air/unspecified,5e98fd60-8da0-4006-9729-4d2797f96302,,,540-84-1
"2,4-D",000094-75-7,C8H6Cl2O3,,kg,chemical,,,air/non-urban air or from high stacks,e6137e6e-84a6-4fa1-a5bf-47c8153d7c05,,,94-75-7
"2,4-D",000094-75-7,,"(2,4-dichlorophenoxy)acetic acid",kg,chemical,,,soil/agricultural,f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,,,94-75-7
"2,4-D amines",002008-39-1,,"2,4-D dimethylamine salt",kg,group?,,,air/non-urban air or from high stacks,4f777e05-70f9-4a18-a406-d8232325073f,,,
