Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
actinium,007440-34-8,,"Ac;アクチニウム（資源）;Ac reserves;actinium reserves,Ac;アクチニウム（資源）;Ac reserves;actinium reserves",MJ,,,,Resources/ground/Non-renewable energy resources,d61626f5-a51b-4cc0-92fc-a3439344765a,,
silver,007440-22-4,,"Ag;銀（資源）;Ag reserves;silver reserves,Ag;銀（資源）;Ag reserves;silver reserves",kg,,,,Resources/ground/Non-renewable element resources,25c99cc2-8444-4f9e-9831-3dda87652d0e,,
aluminium,007429-90-5,,"Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves,Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ce0b308c-61c5-4838-8517-6d44aca17c46,,
arsenic,007440-38-2,,"As;ヒ素;As;arsenic,As;ヒ素;As;arsenic",kg,Geological,,,Resources/ground/Non-renewable element resources,7844b25b-e704-4bed-8f7a-68b614d807ee,,
gold,007440-57-5,,"Au;金（資源）;Au reserves;gold reserves,Au;金（資源）;Au reserves;gold reserves",kg,,,,Resources/ground/Non-renewable element resources,bed27935-c148-4203-8741-93e2ea90aaf2,,
boron,007440-42-8,,"B;ホウ素（資源）;B reserves;boron reserves,B;ホウ素（資源）;B reserves;boron reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,046baeee-61d6-499e-8ca4-8d8b4a33e0a2,,
barium,007440-39-3,,"Ba;バリウム（資源）;Ba reserves;barium reserves,Ba;バリウム（資源）;Ba reserves;barium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,19e04b1f-7439-4c33-be27-db30fa150313,,
beryllium,007440-41-7,,"Be;ベリリウム（資源）;Be reserves;beryllium reserves,Be;ベリリウム（資源）;Be reserves;beryllium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d8d2e420-497f-4a50-814d-09805bf036cf,,
bismuth,007440-69-9,,"Bi;ビスマス（資源）;Bi reserves;bismuth reserves,Bi;ビスマス（資源）;Bi reserves;bismuth reserves",kg,,,,Resources/ground/Non-renewable element resources,dfadf722-6730-4b97-bf76-ea1e78758de5,,
bromine,007726-95-6,,"Br2;臭素（資源）;Br2 reserves;bromine reserves,Br2;臭素（資源）;Br2 reserves;bromine reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,e4d8b53f-41cc-4787-aecc-4371667b4de5,,
calcium,007440-70-2,,"Ca;カルシウム（資源）;Ca reserves;calcium reserves,Ca;カルシウム（資源）;Ca reserves;calcium reserves",kg,,,,Resources/ground/Non-renewable element resources,cdd9dbaa-fcc6-45ea-8f6f-05374b21c190,,
cadmium,007440-43-9,,"Cd;カドミウム;Cd;cadmium,Cd;カドミウム;Cd;cadmium",kg,,,,Resources/ground/Non-renewable element resources,c8221c7a-f64a-4b90-9eea-5984f7122a6c,,
cerium,007440-45-1,,"Ce;セリウム（資源）;Ce reserves;cerium reserves,Ce;セリウム（資源）;Ce reserves;cerium reserves",kg,,,,Resources/ground/Non-renewable element resources,f73543e1-6dc4-4ba3-adcd-05a8a14b73b8,,
chlorine,007782-50-5,,"Cl2;塩素（資源）;Cl2 reserves;chlorine reserves,Cl2;塩素（資源）;Cl2 reserves;chlorine reserves",kg,,,,Resources/ground/Non-renewable element resources,09feb00a-0349-465b-b30d-9b339fa2ac0a,,
cobalt,007440-48-4,,"Co;コバルト（資源）;Co reserves;cobalt reserves,Co;コバルト（資源）;Co reserves;cobalt reserves",kg,,,,Resources/ground/Non-renewable element resources,f3ca5f62-a322-4cdb-a497-b01880fe0776,,
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d54b9c80-200d-4df4-96e6-ceccff70011e,,
cesium,007440-46-2,,"Cs;セシウム（資源）;Cs reserves;cesium reserves,Cs;セシウム（資源）;Cs reserves;cesium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,72ec185c-49f6-4b09-a53a-bacb6835d343,,
copper,007440-50-8,,"Cu;銅（資源）;Cu reserves;copper reserves,Cu;銅（資源）;Cu reserves;copper reserves",kg,,,,Resources/ground/Non-renewable element resources,dfe823bf-f144-4146-aeaa-149edb502c94,,
dysprosium,007429-91-6,,"Dy;ジスプロシウム（資源）;Dy reserves;dysprosium reserves,Dy;ジスプロシウム（資源）;Dy reserves;dysprosium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,1669f157-549b-4db7-9fc9-61d025a80efc,,
erbium,007440-52-0,,"Er;エルビウム（資源）;Er reserves;erbium reserves,Er;エルビウム（資源）;Er reserves;erbium reserves",kg,,,,Resources/ground/Non-renewable element resources,2e4eab6e-e5db-4b8c-bd79-880a5da77c15,,
europium,007440-53-1,,"Eu;ヨウロピウム（資源）;Eu reserves;europium reserves,Eu;ヨウロピウム（資源）;Eu reserves;europium reserves",kg,,,,Resources/ground/Non-renewable element resources,8222ea83-f6c0-4683-9b79-6a638f70008d,,
fluorine,007782-41-4,,"F2;フッ素（資源）;F2 reserves;fluorine reserves,F2;フッ素（資源）;F2 reserves;fluorine reserves",kg,,,,Resources/ground/Non-renewable element resources,c3ef2668-c625-4556-ad18-2c1e0bd37901,,
iron,007439-89-6,,"Fe;鉄（資源）;Fe reserves;iron reserves,Fe;鉄（資源）;Fe reserves;iron reserves",kg,,,,Resources/ground/Non-renewable element resources,f1ecc537-225a-4a8c-ab58-9396eae4b933,,
gallium,007440-55-3,,"Ga;ガリウム（資源）;Ga reserves;gallium reserves,Ga;ガリウム（資源）;Ga reserves;gallium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,7384be79-13ca-4e63-8091-7cd27100d81d,,
gadolinium,007440-54-2,,"Gd;ガドリニウム（資源）;Gd reserves;gadolinium reserves,Gd;ガドリニウム（資源）;Gd reserves;gadolinium reserves",kg,,,,Resources/ground/Non-renewable element resources,9a2ad55a-a4b6-4c43-8d7a-42465e39f1db,,
germanium,007440-56-4,,"Ge;ゲルマニウム（資源）;Ge reserves;germanium reserves,Ge;ゲルマニウム（資源）;Ge reserves;germanium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,969089ae-c6a7-4e9b-a42b-633d4b09c0fa,,
hafnium,007440-58-6,,"Hf;ハフニウム（資源）;Hf reserves;hafnium reserves,Hf;ハフニウム（資源）;Hf reserves;hafnium reserves",kg,,,,Resources/ground/Non-renewable element resources,9968150e-7e94-4160-b8e4-dd8ea5f31899,,
mercury,007439-97-6,,"Hg;Hg;mercury,Hg;Hg;mercury",kg,,,,Resources/ground/Non-renewable element resources,4be0a586-4448-4010-998a-ad6a2869503c,,
holmium,007440-60-0,,"Ho;ホルミウム（資源）;Ho reserves;holmium reserves,Ho;ホルミウム（資源）;Ho reserves;holmium reserves",kg,,,,Resources/ground/Non-renewable element resources,dfe779e1-4c05-4c60-a569-806abe76b2ab,,
iodine,007553-56-2,,"I2;ヨウ素（資源）;I2 reserves;iodine reserves,I2;ヨウ素（資源）;I2 reserves;iodine reserves",kg,,,,Resources/ground/Non-renewable element resources,a825646e-7f2b-452c-a036-6ae423cfff38,,
