Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
aluminium,007429-90-5,,"Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves,Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ce0b308c-61c5-4838-8517-6d44aca17c46,,
arsenic,007440-38-2,,"As;ヒ素;As;arsenic,As;ヒ素;As;arsenic",kg,Geological,,,Resources/ground/Non-renewable element resources,7844b25b-e704-4bed-8f7a-68b614d807ee,,
boron,007440-42-8,,"B;ホウ素（資源）;B reserves;boron reserves,B;ホウ素（資源）;B reserves;boron reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,046baeee-61d6-499e-8ca4-8d8b4a33e0a2,,
barium,007440-39-3,,"Ba;バリウム（資源）;Ba reserves;barium reserves,Ba;バリウム（資源）;Ba reserves;barium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,19e04b1f-7439-4c33-be27-db30fa150313,,
beryllium,007440-41-7,,"Be;ベリリウム（資源）;Be reserves;beryllium reserves,Be;ベリリウム（資源）;Be reserves;beryllium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d8d2e420-497f-4a50-814d-09805bf036cf,,
bromine,007726-95-6,,"Br2;臭素（資源）;Br2 reserves;bromine reserves,Br2;臭素（資源）;Br2 reserves;bromine reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,e4d8b53f-41cc-4787-aecc-4371667b4de5,,
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d54b9c80-200d-4df4-96e6-ceccff70011e,,
cesium,007440-46-2,,"Cs;セシウム（資源）;Cs reserves;cesium reserves,Cs;セシウム（資源）;Cs reserves;cesium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,72ec185c-49f6-4b09-a53a-bacb6835d343,,
dysprosium,007429-91-6,,"Dy;ジスプロシウム（資源）;Dy reserves;dysprosium reserves,Dy;ジスプロシウム（資源）;Dy reserves;dysprosium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,1669f157-549b-4db7-9fc9-61d025a80efc,,
gallium,007440-55-3,,"Ga;ガリウム（資源）;Ga reserves;gallium reserves,Ga;ガリウム（資源）;Ga reserves;gallium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,7384be79-13ca-4e63-8091-7cd27100d81d,,
germanium,007440-56-4,,"Ge;ゲルマニウム（資源）;Ge reserves;germanium reserves,Ge;ゲルマニウム（資源）;Ge reserves;germanium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,969089ae-c6a7-4e9b-a42b-633d4b09c0fa,,
lithium,007439-93-2,,"Li;リチウム（資源）;Li reserves;lithium reserves,Li;リチウム（資源）;Li reserves;lithium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ef47b617-9aa2-4b3a-a2f4-84e51cd27542,,
lutetium,007439-94-3,,"Lu;ルテチウム（資源）;Lu reserves;lutetium reserves,Lu;ルテチウム（資源）;Lu reserves;lutetium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,5e0f86ba-7a8f-4115-9521-3b7ba95ed90b,,
molybdenum,007439-98-7,,"Mo;モリブデン（資源）;Mo reserves;molybdenum reserves,Mo;モリブデン（資源）;Mo reserves;molybdenum reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,1444ffb9-d66c-483f-9fe5-b2147ad007c3,,
sodium,007440-23-5,,"Na;ナトリウム（資源）;Na reserves;sodium reserves,Na;ナトリウム（資源）;Na reserves;sodium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ea38f710-24b2-4fab-97d0-371ff3223ca1,,
neodymium,007440-00-8,,"Nd;ネオジム（資源）;Nd reserves;neodymium reserves,Nd;ネオジム（資源）;Nd reserves;neodymium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,956236fb-ef54-4e68-b259-b411093e80fb,,
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Geological,,,Resources/ground/Non-renewable element resources,5a74ef72-49d8-42fe-8b7a-264dd43679df,,
osmium,007440-04-2,,"Os,Os",kg,Geological,,,Resources/ground/Non-renewable element resources,9995d561-5305-43f0-9f00-8c6a603aec4a,,
protactinium,007440-13-3,,"Pa;プロタクチニウム（資源）;Pa reserves;protactinium reserves,Pa;プロタクチニウム（資源）;Pa reserves;protactinium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,5501d336-ac25-4245-882a-d28dd7f8901e,,
palladium,007440-05-3,,"Pd,Pd",kg,Geological,,,Resources/ground/Non-renewable element resources,bf5e86c2-048d-4c97-9892-1863396c371d,,
platinum,007440-06-4,,"Pt;プラチナ,Pt",kg,Geological,,,Resources/ground/Non-renewable element resources,778a0da7-8c14-455d-bd1f-65ff6caa5929,,
