Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,,,,,,,,,FlowInternalID,UsedYn,,
silver,007440-22-4,,"Ag;銀（資源）;Ag reserves;silver reserves,Ag;銀（資源）;Ag reserves;silver reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,25c99cc2-8444-4f9e-9831-3dda87652d0e,,,,,,,,,,,,1102,0,,
aluminium,007429-90-5,,"Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves,Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ce0b308c-61c5-4838-8517-6d44aca17c46,,,,,,,,,,,,1103,1,,
gold,007440-57-5,,"Au;金（資源）;Au reserves;gold reserves,Au;金（資源）;Au reserves;gold reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,bed27935-c148-4203-8741-93e2ea90aaf2,,,,,,,,,,,,1105,1,,Geological
boron,007440-42-8,,"B;ホウ素（資源）;B reserves;boron reserves,B;ホウ素（資源）;B reserves;boron reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,046baeee-61d6-499e-8ca4-8d8b4a33e0a2,,,,,,,,,,,,1106,1,,Geological
barium,007440-39-3,,"Ba;バリウム（資源）;Ba reserves;barium reserves,Ba;バリウム（資源）;Ba reserves;barium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,19e04b1f-7439-4c33-be27-db30fa150313,,,,,,,,,,,,1107,1,,
bismuth,007440-69-9,,"Bi;ビスマス（資源）;Bi reserves;bismuth reserves,Bi;ビスマス（資源）;Bi reserves;bismuth reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,dfadf722-6730-4b97-bf76-ea1e78758de5,,,,,,,,,,,,1109,1,,Geological
cobalt,007440-48-4,,"Co;コバルト（資源）;Co reserves;cobalt reserves,Co;コバルト（資源）;Co reserves;cobalt reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,f3ca5f62-a322-4cdb-a497-b01880fe0776,,,,,,,,,,,,1115,1,,Geological
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d54b9c80-200d-4df4-96e6-ceccff70011e,,,,,,,,,,,,1116,1,,Geological
copper,007440-50-8,,"Cu;銅（資源）;Cu reserves;copper reserves,Cu;銅（資源）;Cu reserves;copper reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,dfe823bf-f144-4146-aeaa-149edb502c94,,,,,,,,,,,,1118,1,,
iron,007439-89-6,,"Fe;鉄（資源）;Fe reserves;iron reserves,Fe;鉄（資源）;Fe reserves;iron reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,f1ecc537-225a-4a8c-ab58-9396eae4b933,,,,,,,,,,,,1123,1,,Geological
gadolinium,007440-54-2,,"Gd;ガドリニウム（資源）;Gd reserves;gadolinium reserves,Gd;ガドリニウム（資源）;Gd reserves;gadolinium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,9a2ad55a-a4b6-4c43-8d7a-42465e39f1db,,,,,,,,,,,,1125,1,,
lanthanum,007439-91-0,,"La;ランタン（資源）;La reserves;lanthanum reserves,La;ランタン（資源）;La reserves;lanthanum reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ecd7d9ae-c51c-47eb-aafd-e429420981eb,,,,,,,,,,,,1134,1,,
