SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,,SourceFlowCAS,SourceFlowCAS,Notes,TAH notes,
IDEA,"crude oil, 44.7MJ/kg",{6BE2593F-447C-4679-8AFC-A115D79D312A},Resources/ ground/ Non-renewable energy resources,kg,=,44.7,Crude oil,,resource/water/subterranean,MJ,Edelen,Hottle,7/2/2020,,,,Manual Match,,0
IDEA,nickel,{27E8373A-8E2D-4F26-BC8F-417256001F71},Emissions/ water/ unspecified,kg,=,,Nickel,,emission/water,kg,Edelen,Hottle,7/2/2020,,007440-02-0,7440020,CAS Match,,1
IDEA,nickel,{5472852C-7480-4ACA-898B-F7B571A4B442},Emissions/ air/ unspecified,kg,=,,Nickel,,emission/air,kg,Edelen,Hottle,7/2/2020,,007440-02-0,7440020,CAS Match,,1
IDEA,ammonium,{F9DB9AD3-5AFE-43AD-A80F-9AF614AB11D6},Emissions/ water/ unspecified,kg,=,,Ammonium,,emission/water,kg,Edelen,Hottle,7/2/2020,,014798-03-9,14798039,CAS Match,,1
IDEA,chromium,{9B19AAB9-5AB6-4897-9217-B4DD6C8056E4},Emissions/ water/ unspecified,kg,=,,Chromium,,emission/water,kg,Edelen,Hottle,7/2/2020,,007440-47-3,7440473,CAS Match,,1
IDEA,cryolite,{3D9609AB-593C-4AB1-9614-2408DE519BD6},Resources/ ground/ Non-renewable material resources,kg,,,[unmapped],,,,,,,,,,Potential add with context,,0
IDEA,quartz sand,{60D807C4-E0D9-4330-904E-FF2FCDE1151A},Resources/ ground/ Non-renewable material resources,kg,=,,Quartz,,resource/ground,kg,Edelen,Hottle,7/2/2020,,014808-60-7,14808607,CAS Match,,1
IDEA,"1,3-dichloropropene",{77205947-C355-4876-9744-49CDED47516D},Emissions/ air/ unspecified,kg,=,,"1,3-Dichloropropene",,emission/air,kg,Edelen,Hottle,7/2/2020,,000542-75-6,542756,CAS Match,,1
IDEA,zinc,{678F7E77-4965-417D-9E76-001DFCCAAAB8},Emissions/ water/ unspecified,kg,=,,Zinc,,emission/water,kg,Edelen,Hottle,7/2/2020,,007440-66-6,7440666,CAS Match,,1
IDEA,zinc,{720EE285-9C3B-438B-9AE1-57D2176FD8E4},Emissions/ air/ unspecified,kg,=,,Zinc,,emission/air,kg,Edelen,Hottle,7/2/2020,,007440-66-6,7440666,CAS Match,,1
IDEA,zinc,{B62BA18A-0665-466C-83EA-9DEDE54E0408},Emissions/ ground/ unspecified,kg,=,,Zinc,,emission/ground,kg,Edelen,Hottle,7/2/2020,,007440-66-6,7440666,CAS Match,,1
IDEA,praseodymium,{6A2BA045-51B7-482C-B3BA-286D35D39D83},Resources/ ground/ Non-renewable element resources,kg,=,,Praseodymium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-10-0,7440100,CAS Match,,1
IDEA,bismuth,{1E71C35D-5184-499F-8AA5-1AF044846620},Resources/ ground/ Non-renewable element resources,kg,=,,Bismuth,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-69-9,7440699,CAS Match,,1
IDEA,manganese,{93668A45-D41A-4BB4-9631-DEC82C2816C3},Resources/ ground/ Non-renewable element resources,kg,=,,Manganese,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007439-96-5,7439965,CAS Match,,1
IDEA,nickel,{ADD9D904-042C-4053-B568-E78642F15705},Resources/ ground/ Non-renewable element resources,kg,=,,Nickel,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-02-0,7440020,CAS Match,,1
IDEA,carbaryl,{4342C087-C1F6-464C-8D99-5D433E55EF0C},Emissions/ water/ unspecified,kg,=,,Carbaryl,,emission/water,kg,Edelen,Hottle,7/2/2020,,000063-25-2,63252,CAS Match,,1
IDEA,iron,{33B79D67-0E17-4FBE-8421-24DD05CAE1FA},Emissions/ water/ unspecified,kg,=,,Iron,,emission/water,kg,Edelen,Hottle,7/2/2020,,007439-89-6,7439896,CAS Match,,1
IDEA,indium and its compounds,{EDFE8765-6E8B-47BD-B801-3521615917A3},Emissions/ air/ unspecified,kg,,,[unmapped],,,,,,,,007440-74-6,7440746,Potential add with context,,0
IDEA,"metallurgical coal, 29.0MJ/kg",{79A9374C-6CC6-472B-9105-ED43F4B29084},Resources/ ground/ Non-renewable energy resources,kg,~,29,"Coal, bituminous",,resource/ground,MJ,Hottle,Edelen,7/16/2020,,,,"Not an EF, Technosphere Flow","previously mapped to ""Coal, bituminous""",1
IDEA,phosphorus,{C413A10D-FC47-4572-8F7C-50A99D01D73E},Resources/ ground/ Non-renewable element resources,kg,=,,Phosphorus,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007723-14-0,7723140,CAS Match,,1
IDEA,sand (sea and river),{265C99AB-F0C8-4D4D-B337-474BD2B3B98D},Resources/ ground/ Non-renewable material resources,kg,=,,Sand,,resource/ground,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,pit sand,{01038646-9776-43D8-9EE7-2E05DEEA9ECD},Resources/ ground/ Non-renewable material resources,kg,=,,Sand,,resource/ground,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,CFC-10,{7EE04420-D5F1-4A99-B7D0-AA4ABEB9F524},Emissions/ air/ unspecified,kg,=,,Carbon tetrachloride,,emission/air,kg,Edelen,Hottle,7/2/2020,,000056-23-5,56235,CAS Match,,1
IDEA,miscellaneous plantation,{4F24563F-4084-4A17-A08C-ACF058EA2BCB},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/human-dominated/agricultural,m2*a,Edelen,Hottle,7/9/2020,,,,Manual Match,,0
IDEA,tellurium,{C3A430BD-7924-4AE5-B1FB-62AFB92B9CB0},Resources/ ground/ Non-renewable element resources,kg,=,,Tellurium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,013494-80-9,13494809,CAS Match,,1
IDEA,uranium,{D1822A41-5D38-4418-9D10-0C1A86472E3A},Resources/ ground/ Non-renewable element resources,kg,=,,Uranium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-61-1,7440611,CAS Match,,1
IDEA,kaolin,{E8FF6012-B983-4BD6-8D0E-6DB9481333D3},Resources/ ground/ Non-renewable material resources,kg,=,,Kaolin,,resource/ground,kg,Edelen,Hottle,7/2/2020,,001332-58-7,1332587,CAS Match,,1
IDEA,zirconium,{309F6647-A4DC-446B-B821-4DF601300EC6},Resources/ ground/ Non-renewable element resources,kg,=,,Zirconium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-67-7,7440677,CAS Match,,1
IDEA,cadmium,{7339F3E9-0C2F-4555-89FD-72ADC6952464},Emissions/ water/ unspecified,kg,=,,Cadmium,,emission/water,kg,Edelen,Hottle,7/2/2020,,007440-43-9,7440439,CAS Match,,1
IDEA,cadmium,{C6A355AF-39EB-4ABE-A8D3-452801DEC91E},Emissions/ air/ unspecified,kg,=,,Cadmium,,emission/air,kg,Edelen,Hottle,7/2/2020,,007440-43-9,7440439,CAS Match,,1
IDEA,"NOx, urban air close to ground",{667DB08E-50E5-4343-B331-78E290B2B80D},Emissions/ air/ urban air close to ground,kg,=,,Nitrogen oxides,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,thiobencarb,{0E8BE428-0CB6-41E5-B7DC-6E12DC77E8F1},Emissions/ air/ unspecified,kg,=,,Thiobencarb,,emission/air,kg,Edelen,Hottle,7/2/2020,,028249-77-6,28249776,CAS Match,,1
IDEA,sulfur hexafluoride,{9B2E5CF0-8528-4D73-90EA-EAEE8A1F94F9},Emissions/ air/ unspecified,kg,=,,Sulfur hexafluoride,,emission/air,kg,Edelen,Hottle,7/2/2020,,002551-62-4,2551624,CAS Match,,1
IDEA,antimony,{7B0D2689-00BB-4562-9953-B7459D983C0D},Resources/ ground/ Non-renewable element resources,kg,=,,Antimony,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-36-0,7440360,CAS Match,,1
IDEA,silver,{C0DD54B3-E72B-4188-BC87-C26388F3ACED},Resources/ ground/ Non-renewable element resources,kg,=,,Silver,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-22-4,7440224,CAS Match,,1
IDEA,lanthanum,{B5203955-3DA0-4816-89EC-44D0394B7A59},Resources/ ground/ Non-renewable element resources,kg,=,,Lanthanum,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007439-91-0,7439910,CAS Match,,1
IDEA,lithium,{5791064D-59E1-4AF5-AEC3-59A1FFCAC88F},Resources/ ground/ Non-renewable element resources,kg,=,,Lithium,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007439-93-2,7439932,CAS Match,,1
