SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated
IDEAv2.2,silver,25c99cc2-8444-4f9e-9831-3dda87652d0e,Resources/ground/Non-renewable element resources,kg,=,1,Silver,c1469141-98f7-3068-bd5d-1993b7d762d3,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,aluminium,ce0b308c-61c5-4838-8517-6d44aca17c46,Resources/ground/Non-renewable element resources,kg,=,1,Aluminum,fcf5aa38-e237-3672-9f59-6bf259ebc10a,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,arsenic,7844b25b-e704-4bed-8f7a-68b614d807ee,Resources/ground/Non-renewable element resources,kg,=,1,Arsenic,e8248870-bfcc-3b4c-9872-14400e824006,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,gold,bed27935-c148-4203-8741-93e2ea90aaf2,Resources/ground/Non-renewable element resources,kg,=,1,Gold,affc3f7b-6f37-3ff0-beb0-981ec1567bc3,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,boron,046baeee-61d6-499e-8ca4-8d8b4a33e0a2,Resources/ground/Non-renewable element resources,kg,=,1,Boron,4c4afdaf-8575-3c7c-bf8f-4ddea29fd682,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,barium,19e04b1f-7439-4c33-be27-db30fa150313,Resources/ground/Non-renewable element resources,kg,=,1,Barium,51990b1c-9d04-30d6-b7f3-39fdc6c11305,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,beryllium,d8d2e420-497f-4a50-814d-09805bf036cf,Resources/ground/Non-renewable element resources,kg,=,1,Beryllium,f7ff85d1-1dc5-31d1-8c08-47bd566a32b4,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,bismuth,dfadf722-6730-4b97-bf76-ea1e78758de5,Resources/ground/Non-renewable element resources,kg,=,1,Bismuth,a4f26c62-48c7-3efe-8b38-0ce1e4493fff,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,bromine,e4d8b53f-41cc-4787-aecc-4371667b4de5,Resources/ground/Non-renewable element resources,kg,=,1,Bromine,67a74dea-7d18-36c1-9306-70eb9909bdd8,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,calcium,cdd9dbaa-fcc6-45ea-8f6f-05374b21c190,Resources/ground/Non-renewable element resources,kg,=,1,Calcium,f8e4ee52-e84a-34b2-a801-2fe3504a4e65,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,cadmium,c8221c7a-f64a-4b90-9eea-5984f7122a6c,Resources/ground/Non-renewable element resources,kg,=,1,Cadmium,83006d17-250d-3ff7-97c6-1f123e8d164e,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,cerium,f73543e1-6dc4-4ba3-adcd-05a8a14b73b8,Resources/ground/Non-renewable element resources,kg,=,1,Cerium,9755713b-27fd-36c6-afbf-53a1f3886b5b,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,chlorine,09feb00a-0349-465b-b30d-9b339fa2ac0a,Resources/ground/Non-renewable element resources,kg,=,1,Chlorine,d6d38720-1cd9-324c-817e-37ee5743bf2a,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,cobalt,f3ca5f62-a322-4cdb-a497-b01880fe0776,Resources/ground/Non-renewable element resources,kg,=,1,Cobalt,aec2cf2a-b55b-3598-a164-05f8ba8ad3ee,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,chromium,d54b9c80-200d-4df4-96e6-ceccff70011e,Resources/ground/Non-renewable element resources,kg,=,1,Chromium,d1114675-5e8c-37c2-bbbe-00c723fb9697,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,cesium,72ec185c-49f6-4b09-a53a-bacb6835d343,Resources/ground/Non-renewable element resources,kg,=,1,Cesium,4c2424e2-03b1-3962-bb1f-2968cb5c90d5,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,copper,dfe823bf-f144-4146-aeaa-149edb502c94,Resources/ground/Non-renewable element resources,kg,=,1,Copper,fddcce55-84af-3798-81cc-47fedcf811b8,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,dysprosium,1669f157-549b-4db7-9fc9-61d025a80efc,Resources/ground/Non-renewable element resources,kg,=,1,Dysporium,dd7b1df6-8d18-3920-8ee6-f1309e50813a,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,erbium,2e4eab6e-e5db-4b8c-bd79-880a5da77c15,Resources/ground/Non-renewable element resources,kg,=,1,Erbium,511f9811-2788-3ff7-86e2-f29cfc304b64,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,europium,8222ea83-f6c0-4683-9b79-6a638f70008d,Resources/ground/Non-renewable element resources,kg,=,1,Europium,feeaf981-a280-3457-af42-fdf107483923,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,fluorine,c3ef2668-c625-4556-ad18-2c1e0bd37901,Resources/ground/Non-renewable element resources,kg,=,1,Fluorine,58c74a60-7e36-370e-8a38-51b553c81aa3,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,iron,f1ecc537-225a-4a8c-ab58-9396eae4b933,Resources/ground/Non-renewable element resources,kg,=,1,Iron,290d9a3e-ae36-3c36-b755-8bbf90c17054,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,gallium,7384be79-13ca-4e63-8091-7cd27100d81d,Resources/ground/Non-renewable element resources,kg,=,1,Gallium,cc1ddbaa-b58a-3d35-b196-7d790fd7f00b,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,gadolinium,9a2ad55a-a4b6-4c43-8d7a-42465e39f1db,Resources/ground/Non-renewable element resources,kg,=,1,Gadolinium,ad2453b9-6246-31c4-8dee-556c96121c15,resource/ground,kg,Hottle,Edelen,8/24/2020
