Flowable,Alternate Unit ,Reference Unit,Conversion Factor,External Reference,UUID
"processed water to lake, regionalized, JP",m3,kg,1000.0,added,00844ece-a1e9-4241-82ab-c19411c8c6cb
"river water to turbine, regionalized, CH",m3,kg,1000.0,added,00c5e2ab-2e95-497d-be89-249424e76550
"processed water to groundwater, regionalized, ES",m3,kg,1000.0,added,00ca4a38-38a3-4820-b33e-da1a1788728e
Process water,m3,kg,1000.0,added,0123d60d-1c78-4a38-9fa0-90b1b6c9491e
"cooling water to lake, regionalized, MX",m3,kg,1000.0,added,012ef128-7f29-4c11-b257-61fa2e515cf5
"river water, regionalized, NO",m3,kg,1000.0,added,0139d629-47e1-4c7d-b230-5449b4ecae0e
"turbined water to lake, regionalized, CI",m3,kg,1000.0,added,018adb41-0db3-4572-9a71-96cdf874777b
"processed water to river, regionalized, HU",m3,kg,1000.0,added,019db043-faff-4733-83e0-506bc1d01b5b
"collected rainwater to lake, regionalized, BG",m3,kg,1000.0,added,019e65c5-b5a8-4de4-a9a8-a8407535c123
"turbined water to river, regionalized, NG",m3,kg,1000.0,added,01cc3f94-22e2-4973-953c-ae275ef624c5
"processed water to lake, regionalized, TH",m3,kg,1000.0,added,01f81481-7012-4dc2-ab05-dca49d8fab3f
"cooling water to river, regionalized, FR",m3,kg,1000.0,added,024b80b4-4bd0-4334-9807-440708379a5a
"river water to turbine, regionalized, CZ",m3,kg,1000.0,added,027a5004-b294-4a31-88e4-f0291dab5deb
"processed water to river, regionalized, MY",m3,kg,1000.0,added,03011063-acc2-4183-81bb-836b807cc494
"river water, regionalized, HU",m3,kg,1000.0,added,0318f443-b937-4918-bc2b-f0eb5f59fa09
"cooling water to river, regionalized, CZ",m3,kg,1000.0,added,031e4799-c7d4-4136-a3f6-60bfc7f8298f
"cooling water to lake, regionalized, CL",m3,kg,1000.0,added,03989220-7082-42af-9a7f-0c292e7be116
"cooling water to river, regionalized, IE",m3,kg,1000.0,added,03d59350-2122-4fb7-b427-7e75f5164ceb
"cooling water to lake, regionalized, JP",m3,kg,1000.0,added,04087169-ea86-44cf-8d5b-7afb408d5255
"turbined water to river, regionalized, NL",m3,kg,1000.0,added,04096214-f81b-496a-bc0a-adff6429b563
"collected rainwater to lake, regionalized, PK",m3,kg,1000.0,added,045c3502-a145-44b6-b37f-e80ce9d70685
"lake water to turbine, regionalized, LU",m3,kg,1000.0,added,0496818a-0cac-4787-b9c2-c89ef6c38f45
"lake water to turbine, regionalized, SK",m3,kg,1000.0,added,04d4ba5d-b981-4e22-985d-c8f4285211e9
"processed water to river, regionalized, US",m3,kg,1000.0,added,051768f9-92fb-45d0-b70e-030d44355c93
"cooling water to lake, regionalized, SG",m3,kg,1000.0,added,053cac53-ac31-437b-a4d4-328abcc6bfaa
"turbined water to river, regionalized, CI",m3,kg,1000.0,added,057406c0-bcd6-47b4-8a3b-6f4c1089c252
"lake water, regionalized, CL",m3,kg,1000.0,added,058d8afd-285d-4893-867f-e8e32d7e6361
"lake water, regionalized, SE",m3,kg,1000.0,added,05afdeb0-7eff-414b-9d2e-a47f5cf45ba3
"processed water to lake, regionalized, CN",m3,kg,1000.0,added,06b405d9-31ce-4b76-968b-9a41a5c8de7d
"processed water to river, regionalized, CO",m3,kg,1000.0,added,074d06cd-9cbe-4023-8fbb-f47848d808be
"cooling water to river, regionalized, EE",m3,kg,1000.0,added,075f3933-0c41-44b2-8c47-b6bf8e7a6757
"cooling water to river, regionalized, TH",m3,kg,1000.0,added,077407c6-39d8-4791-a993-9154de20f949
"processed water to river, regionalized, ES",m3,kg,1000.0,added,078a7657-9464-4f8b-9580-5a6b5149bb7e
"cooling water to lake, regionalized, CI",m3,kg,1000.0,added,0799dd1a-cf2b-4474-bf90-97db6960dce1
"river water to turbine, regionalized, AU",m3,kg,1000.0,added,079c2146-df45-4139-9c9b-8137276bb6c3
"processed water to river, regionalized, DE",m3,kg,1000.0,added,079f3bd8-32c6-48bf-8526-fb98771be8bb
"ground water, regionalized, ID",m3,kg,1000.0,added,087d5e08-ed7d-413a-8ce7-3fd7540038bb
"ground water, regionalized, IT",m3,kg,1000.0,added,0883fced-fbd5-4993-970f-0b9e0e6c6338
"cooling water to river, regionalized, ES",m3,kg,1000.0,added,09448a81-cc5b-448b-a45b-5045c04db140
"lake water to turbine, regionalized, PL",m3,kg,1000.0,added,09fda549-41c6-4ab0-b218-afbb3178e717
"turbined water to lake, regionalized, SE",m3,kg,1000.0,added,0a5252a0-816c-448f-b0b8-c7e3453daee7
"turbined water to river, regionalized, SK",m3,kg,1000.0,added,0a599b66-363b-49a4-a570-ab8235cf4dc5
"river water to turbine, regionalized, LT",m3,kg,1000.0,added,0a97dec7-f321-4a51-a7b2-43a1df894f6a
"collected rainwater to river, regionalized, MX",m3,kg,1000.0,added,0ab91fc0-fa88-490d-921e-9a289b02a866
"cooling water to lake, regionalized, CN",m3,kg,1000.0,added,0ace63f7-bf96-4947-aa58-61fd3f7816cb
"Water (sea water from technosphere, waste water)",m3,kg,1000.0,added,0b2144c1-8a84-4a0e-81ad-40d9eca4851c
"cooling water to lake, regionalized, CA",m3,kg,1000.0,added,0b40e3c2-344f-4ee9-9979-a60f1590f5d6
"collected rainwater to lake, regionalized, SK",m3,kg,1000.0,added,0b7c606c-7857-4829-84b1-f287024ee5ca
"river water, regionalized, AT",m3,kg,1000.0,added,0ba743d5-0d46-4d37-ac58-0920dfb38fe4
"lake water to turbine, regionalized, SG",m3,kg,1000.0,added,0ba9f9fc-7a18-4260-a5b7-23ced78d95f3
"fresh water, regionalized, AR",m3,kg,1000.0,added,0bf7c70b-4a1d-4848-a78a-5c31a220f148
"ground water, regionalized, BA",m3,kg,1000.0,added,0c29378e-1040-4f6b-bf1c-de477cfd03b8
"collected rainwater to lake, regionalized, LK",m3,kg,1000.0,added,0c32d085-b509-44d9-853e-08c4acb72639
"turbined water to river, regionalized, VN",m3,kg,1000.0,added,0d431b05-fd37-4d86-94e5-87860f22205a
"lake water to turbine, regionalized, RS",m3,kg,1000.0,added,0d5556e4-8bce-433a-bb0f-32557ae0d9ee
"processed water to lake, regionalized, MK",m3,kg,1000.0,added,0d79a4ca-6ec6-48b7-a7eb-6ffd1b7a1210
"collected rainwater to lake, regionalized, SG",m3,kg,1000.0,added,0d90f868-7301-4188-8667-f3bde8379be3
"processed water to groundwater, regionalized, EE",m3,kg,1000.0,added,0d9351f9-e7d8-40c7-bc96-d9213fc054c5
"fresh water, regionalized, BA",m3,kg,1000.0,added,0da9b131-f580-4db4-abd8-ef50292d1238
"collected rainwater to lake, regionalized, NO",m3,kg,1000.0,added,0e4dec65-f671-4b21-8d25-f08bd92082bb
"processed water to groundwater, regionalized, PH",m3,kg,1000.0,added,0e840e80-aa49-45a0-86ed-7740b3d57041
"Water (groundwater from technosphere, waste water)",m3,kg,1000.0,added,0e848871-d8b6-457a-a274-dd50fd437502
"turbined water to river, regionalized, SL",m3,kg,1000.0,added,0eb13392-d4d6-4317-b087-b14e45c47a69
"processed water to river, regionalized, DK",m3,kg,1000.0,added,0f113185-d093-4d00-bf6f-83e085ab519a
"processed water to river, regionalized, MX",m3,kg,1000.0,added,0f5ef6eb-1941-481c-9f31-d15733cad12d
"fresh water, regionalized, SI",m3,kg,1000.0,added,0fdc9558-1998-4e7c-9099-021635db1a6d
"river water to turbine, regionalized, BE",m3,kg,1000.0,added,104507eb-644d-4ea5-b711-2da424908613
"processed water to lake, regionalized, IT",m3,kg,1000.0,added,105d2110-fb12-4a23-8ff1-bbff3ed6fdb1
"turbined water to lake, regionalized, NL",m3,kg,1000.0,added,10ad49a0-a0b0-426c-a86f-2372782b6271
"processed water to river, regionalized, JP",m3,kg,1000.0,added,10c0f422-f545-44ad-9af3-9d46d46b78ff
"processed water to river, regionalized, KZ",m3,kg,1000.0,added,10e79191-2dc7-4add-af26-17dc1749a405
"processed water to river, regionalized, GR",m3,kg,1000.0,added,10eb9542-66a2-4024-988a-97c00138137c
"cooling water to river, regionalized, RO",m3,kg,1000.0,added,10ed1973-36d5-4450-ac95-996770163fbf
"processed water to groundwater, regionalized, SI",m3,kg,1000.0,added,112979b5-e569-42fc-bf6d-e944c2d53209
"collected rainwater to river, regionalized, DE",m3,kg,1000.0,added,114d147b-b0d7-406c-8d85-50629f2fc063
"ground water, regionalized, VE",m3,kg,1000.0,added,11db2561-42ce-47cc-acfc-49dd1fa688a2
"cooling water to river, regionalized, MY",m3,kg,1000.0,added,11dd4993-676e-4c32-a5ae-fbd0d77c9a64
"processed water to lake, regionalized, PL",m3,kg,1000.0,added,128ef739-7e63-4d29-bebf-8e23326b03f4
"lake water, regionalized, LU",m3,kg,1000.0,added,12c6dbe9-92a0-4b69-880d-cdbe0da4cdad
"lake water, OECD average scarcity",m3,kg,1000.0,added,12d520c9-3272-4b93-b7ac-21b5da30c716
"Water (sea water from technosphere, cooling water)",m3,kg,1000.0,added,13cb6c5c-0753-4826-b41e-cd3d082daac9
"collected rainwater to lake, regionalized, MX",m3,kg,1000.0,added,13cbd709-4f1f-4d28-8264-0de8f255b20c
"river water to turbine, regionalized, AR",m3,kg,1000.0,added,13f10e8a-2191-419a-9927-375538971c87
"collected rainwater to river, regionalized, SI",m3,kg,1000.0,added,14018446-6981-4c5c-b06a-541fff4ad18d
"ground water, extreme scarcity",m3,kg,1000.0,added,1419f26f-689b-4c59-acff-b62041ac3c2e
"river water to turbine, regionalized, RS",m3,kg,1000.0,added,14ce59ba-ea10-45cc-bbea-3fcf7f2df78f
"processed water to lake, regionalized, DE",m3,kg,1000.0,added,157a8ab4-87ed-46af-abac-912cf937108c
"collected rainwater to lake, regionalized, RS",m3,kg,1000.0,added,16126128-74a4-4b67-b14a-189e03e5a76f
"fresh water, regionalized, ES",m3,kg,1000.0,added,16290fd0-79e2-4e2d-bb5d-e522c1783f12
"river water, regionalized, FI",m3,kg,1000.0,added,165c8e1b-7357-433b-a392-df3665bad3bf
"lake water, regionalized, MX",m3,kg,1000.0,added,165d156f-f098-4cdf-954a-88f115367ba7
river water,m3,kg,1000.0,added,1729ef88-6556-11dd-ad8b-0800200c9a66
"processed water to river, regionalized, SL",m3,kg,1000.0,added,1730e91c-01cf-4dc3-9447-f8d619b0903c
"turbined water to lake, regionalized, PL",m3,kg,1000.0,added,177855a0-fa30-4a06-a0f7-8fa8faf5504d
