FEDEFL,ILCD,IDEA,ecoinvent
emission/air,emission/air/unspecified,Emissions/air/unspecified,air/unspecified
emission/air/indoor,emission/air/indoor,Emissions/air/unspecified,air/indoor
emission/air/rural,emission/air/non urban or from high stack,Emissions/air/non-urban,air/non-urban air or from high stacks
emission/air/rural/ground-level,emission/air/non urban/ground level,Emissions/air/non-urban,air/non-urban air or from high stacks
emission/air/stratosphere,emission/air/lower stratosphere and upper stratosphere,Emissions/air/unspecified,air/lower stratosphere + upper troposphere
emission/air/subterranean,emission/air/unspecified,Emissions/air/unspecified,air/unspecified
emission/air/troposphere/ground-level,emission/air/close to ground,Emissions/air/unspecified,air/unspecified
emission/air/troposphere/high,emission/air/non urban or from high stack,Emissions/air/unspecified,air/non-urban air or from high stacks
emission/air/troposphere/low,emission/air/unspecified,Emissions/air/unspecified,air/unspecified
emission/air/troposphere/rural,emission/air/non urban or from high stack,Emissions/air/non-urban,air/non-urban air or from high stacks
emission/air/troposphere/rural/ground-level,emission/air/non urban/low,Emissions/air/non-urban,air/non-urban air or from high stacks
emission/air/troposphere/rural/high,emission/air/non urban/high,Emissions/air/non-urban,air/non-urban air or from high stacks
emission/air/troposphere/rural/low,emission/air/non urban/low,Emissions/air/non-urban,air/non-urban air or from high stacks
emission/air/troposphere/rural/very high,emission/air/non urban/very high,Emissions/air/non-urban,air/non-urban air or from high stacks
emission/air/troposphere/urban,emission/air/unspecified,Emissions/air/unspecified,air/urban air close to ground
emission/air/troposphere/urban/ground-level,emission/air/urban/low,Emissions/air/urban air close to ground,air/urban air close to ground
emission/air/troposphere/urban/high,emission/air/urban/high,Emissions/air/urban high stacks,air/unspecified
emission/air/troposphere/urban/low,emission/air/urban/low,Emissions/air/urban air close to ground,air/urban air close to ground
emission/air/troposphere/urban/very high,emission/air/urban/very high,Emissions/air/urban high stacks,air/unspecified
emission/air/troposphere/very high,emission/air/unspecified,Emissions/air/unspecified,air/unspecified
emission/ground,emission/soil/unspecified,Emissions/ground/unspecified,soil/unspecified
emission/ground/human-dominated,emission/soil/unspecified,Emissions/ground/unspecified,soil/unspecified
emission/ground/human-dominated/agricultural,emission/soil/agricultural,Emissions/ground/unspecified,soil/agricultural
emission/ground/human-dominated/agricultural/rural,emission/soil/agricultural,Emissions/ground/unspecified,soil/agricultural
emission/ground/human-dominated/agricultural/urban,emission/soil/non agricultural,Emissions/ground/unspecified,soil/agricultural
emission/ground/human-dominated/commercial,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/human-dominated/commercial/rural,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/human-dominated/commercial/urban,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/human-dominated/industrial,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/human-dominated/industrial/rural,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/human-dominated/industrial/urban,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/human-dominated/residential,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/human-dominated/residential/rural,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/human-dominated/residential/urban,emission/soil/non agricultural,Emissions/ground/unspecified,soil/industrial
emission/ground/subterranean,emission/soil/unspecified,Emissions/ground/unspecified,soil/unspecified
emission/ground/terrestrial,emission/soil/non agricultural,Emissions/ground/unspecified,soil/unspecified
emission/ground/terrestrial/barren land,emission/soil/non agricultural,Emissions/ground/unspecified,soil/unspecified
emission/ground/terrestrial/forest,emission/soil/non agricultural,Emissions/ground/unspecified,soil/forestry
emission/ground/terrestrial/grassland,emission/soil/non agricultural,Emissions/ground/unspecified,soil/unspecified
emission/ground/terrestrial/shrubland,emission/soil/non agricultural,Emissions/ground/unspecified,soil/unspecified
emission/ground/terrestrial/snow and ice,emission/soil/non agricultural,Emissions/ground/unspecified,soil/unspecified
