SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
ecoinvent_v3.6,"1,4-Butanediol",38a622c6-f086-4763-a952-7c6b3b1c42ba,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,"1,4-Butanediol",34d53001-84a2-3053-b887-32b891e334eb,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,1-Pentanol,541a823c-0aad-4dc4-9123-d4af4647d942,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,1-Pentanol,d493995d-8f95-3794-92ba-039e7957c2a7,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,1-Pentene,8cbaa905-41b0-4327-8403-bf1c8eb25429,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,1-Pentene,b195376f-5626-3f2f-826e-fcd202c7d84f,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"2,4-D",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,soil/agricultural,kg,=,1,FEDEFLv1.0.3,"2,4-D",1b903dc5-d279-3144-a3e5-72dfeb19f876,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,2-Aminopropanol,a0fec60d-3f74-48bf-a2d2-58c30fc13e53,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,2-Aminopropanol,110d530d-07a9-317b-8a1d-8616995cff77,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,2-Methyl pentane,d5649872-502b-4d23-b882-26d74a9fc4b4,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,3-Methylpentane,1fd96ecd-7fb3-371a-8186-2975b042002e,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,2-Methyl-1-propanol,e2d860e3-1038-4386-a5f1-25ad75d18bbd,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,Isobutanol,dca23d79-54e2-3632-be6a-64c8f4465f36,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,2-Methyl-2-butene,79a87f98-0b00-4e7e-86f8-70667307f696,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,2-Methyl-2-butene,4dc3829c-52ca-34bf-bed6-23112a12182c,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,2-Nitrobenzoic acid,90d374f1-b739-45b2-a734-d6bdd8c8dc9c,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,o-Nitrobenzoic acid,e034991d-af2e-3106-8b36-b9eead596312,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,2-Propanol,cbf58f64-9286-406f-8dcb-ef1d81eec980,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,Isopropanol,b2aaafa2-b249-3d47-915f-9e06bdc83f48,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,3-Methyl-1-butanol,c6310f81-3859-4c5c-990a-4662ba179693,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,3-Methyl-1-butanol,e4b5e38a-9768-3f49-a428-12e4aa53d355,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,4-Methyl-2-pentanol,70c436a2-c304-4405-9230-dcfbb7b11dde,water/ground-,kg,=,1,FEDEFLv1.0.3,4-Methyl-2-pentanol,92b13dd0-83c1-36f5-9719-dd3df32b8a9c,emission/water/subterranean,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,4-Methyl-2-pentanol,57cb82d2-19f4-4491-8ffc-f65f9ff7b418,"water/ground-, long-term",kg,=,1,FEDEFLv1.0.3,4-Methyl-2-pentanol,92b13dd0-83c1-36f5-9719-dd3df32b8a9c,emission/water/subterranean,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,4-Methyl-2-pentanone,9fbec2f4-6b42-4e63-9573-14e04befe20f,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,Methyl isobutyl ketone,f2d3c436-e50a-39ab-9833-59ebb95131c8,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Abamectin,3166d308-cc57-4d31-b42e-63c7eada821f,soil/agricultural,kg,=,1,FEDEFLv1.0.3,Abamectin,8f96a3e8-49dc-39ab-97f4-660caad56a70,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Acenaphthene,99c07b66-c039-4896-866d-06abdaa9d46a,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,Acenaphthene,b5cf471a-4c91-3fe4-8ac8-7430db58e824,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Acenaphthylene,a998fad5-65bc-4ea9-905b-df4d5e667358,water/ground-,kg,=,1,FEDEFLv1.0.3,Acenaphthylene,2d36d424-0beb-37a5-8a8b-baeed54860db,emission/water/subterranean,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,Acenaphthylene,15b58430-7bd4-4c6c-967e-514538c85b8d,"water/ground-, long-term",kg,=,1,FEDEFLv1.0.3,Acenaphthylene,2d36d424-0beb-37a5-8a8b-baeed54860db,emission/water/subterranean,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,Acephate,cdcdbfc9-3d5f-4e78-8033-8dbecbb2cfec,soil/agricultural,kg,=,1,FEDEFLv1.0.3,Acephate,ae36d892-2c7c-3367-a68d-796ece73166e,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Acetaldehyde,5ad58fcc-e9ba-4155-a3c9-e4ffb3065a6f,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,Acetaldehyde,45b5f1e9-6bdb-3c01-a58e-58f417a94660,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Acetamide,eb23cf3a-b866-458d-94b3-9aee4145fcc9,soil/agricultural,kg,=,1,FEDEFLv1.0.3,Acetamide,c98dbab1-264d-348d-8adc-69b31ad20389,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Acetic acid,b9b68c0c-053e-41de-ab72-8dfe1c3f5755,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,Acetic acid,567b2b4f-882a-3fd7-99d5-5b5aca7a0fe9,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Acetic acid, trifluoro-",f38210d0-4566-4497-b270-662028efc0c6,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,Trifluoroacetic acid,fa6c4fd2-4249-3e9d-86ee-62c792e8b34f,emission/air/troposphere/urban/ground-level,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,Acetochlor,92ee2fc1-238c-465d-9887-418af42db9c7,soil/agricultural,kg,=,1,FEDEFLv1.0.3,Acetochlor,1de6d0d4-b213-330d-911e-d5b4210886a7,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Acetone,1f130425-11f9-4ec2-8d2f-d282acaacf5c,air/urban air close to ground,kg,=,1,FEDEFLv1.0.3,Acetone,ed51830c-e3ae-3405-be78-e50c3d4d79ae,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,8/21/2020,,,,
