SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,MapType,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
ecoinvent/EF3.5,"residual wood, dry",7fd9a2f3-c52a-4e75-936a-570f70e6f94e,social/unspecified,#N/A,=,1,11,ecoinvent/EF3.6,,,,#N/A,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,"strontium, in ground",0f1b21d0-2780-4742-87f2-28fb21a44db5,natural resource/in ground,kg,=,1,12,ecoinvent/EF3.6,"Strontium, in ground",0f1b21d0-2780-4742-87f2-28fb21a44db5,natural resource/in ground,kg,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,"venting of argon, crude, liquid",7db97fb7-ade7-4366-9ba4-cc8208419c23,social/unspecified,#N/A,=,1,11,ecoinvent/EF3.6,,,,#N/A,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,"venting of nitrogen, liquid",46021b12-1b66-4e5f-8dfb-204543a83dc6,social/unspecified,#N/A,=,1,11,ecoinvent/EF3.6,,,,#N/A,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,,,,#N/A,,1,10,ecoinvent/EF3.6,"Benzene, hexachloro-",373c3829-2b94-5cf4-8104-1cf516c20361,water/unspecified,kg,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,,,,#N/A,,1,10,ecoinvent/EF3.6,"Benzene, pentachloro-",b61b560b-4fbb-51f8-a9f9-8c05de27115f,water/unspecified,kg,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,,,,#N/A,,1,10,ecoinvent/EF3.6,Acrolein,fa8bd05b-015d-5a82-878c-bde991551695,water/unspecified,kg,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,,,,#N/A,,1,10,ecoinvent/EF3.6,Nitrogen dioxide,399b496b-b590-4c48-ba34-0e8f18b5baff,water/surface water,kg,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,,,,#N/A,,1,10,ecoinvent/EF3.6,Sulfuric acid,6ec8c964-83df-42f3-a1ae-35c1f905cfba,water/surface water,kg,"Carl Vadenbo, ecoinvent Association",,,,,,
ecoinvent/EF3.5,,,,#N/A,,1,10,ecoinvent/EF3.6,"Barium, in ground",240177d8-6f3b-43f5-8d1e-0c18114dfa02,natural resource/in ground,kg,"Carl Vadenbo, ecoinvent Association",,,,,,
