SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,SourceFlowCAS,SourceFlowCAS_Nolead_0,Notes,,TAH notes
ecoinvent,Paraffins,428e384f-5146-4023-9e62-cca1db3ed321,air/ urban air close to ground,kg,,,[unmapped],,,,,,,008002-74-2,8002742,"Unidentifiable group, CAS suggest Natural Gas",,
ecoinvent,"Transformation, from annual crop",f05cca02-ec18-4acc-9939-59658ff9a554,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from annual crop, greenhouse",101f15ac-0698-49dd-b177-471a813ef78e,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from annual crop, irrigated",a70beb60-354d-4dcd-b6fd-8c251357fb2a,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from annual crop, irrigated, intensive",10ebc72c-2c4b-45ea-abd8-cb7fe0805883,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from annual crop, non-irrigated",4b420f19-0421-461e-a0b6-7efbf580089b,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from annual crop, non-irrigated, extensive",c7869c43-266c-429d-bfd5-6b578ed32ce8,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from annual crop, non-irrigated, intensive",ab3e851e-21c9-47cf-8e7d-5f96dfae3ba5,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from arable land, unspecified use",4d166779-88fd-441b-9537-f3b974e3bff7,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from cropland fallow (non-use)",4da2ea28-8273-4901-9931-264169ec7731,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from dump site, inert material landfill",c1513682-45ad-444e-afb5-27c660714e88,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from dump site, residual material landfill",7fdc928c-f347-45e7-82d7-046acdf878ae,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
ecoinvent,"Transformation, from dump site, sanitary landfill",b79e26a0-88db-441f-b79b-508506e81b93,natural resource/ land,m2,,,[unmapped],,,,,,,,,"Not an Elementary Flow, Transformation Flow",,
